date,neg,neu,pos
2022-04-01 00:00:00,5046,6827,4084
2022-05-01 00:00:00,5964,7638,4334
2022-06-01 00:00:00,5168,6653,3737
2022-07-01 00:00:00,5738,6980,3868
2022-08-01 00:00:00,5521,6866,3959
2022-09-01 00:00:00,4630,6078,3866
2022-10-01 00:00:00,5021,6949,4040
2022-11-01 00:00:00,5135,6316,3463
2022-12-01 00:00:00,4020,4460,2735
2023-01-01 00:00:00,5829,6165,3308
2023-02-01 00:00:00,4530,5330,2840
2023-03-01 00:00:00,4745,5705,3031
2023-04-01 00:00:00,4437,5211,2793
2023-05-01 00:00:00,4394,5391,2731
2023-06-01 00:00:00,4077,4637,2576
2023-07-01 00:00:00,4242,5172,2777
2023-08-01 00:00:00,4552,5051,2675
2023-09-01 00:00:00,4450,4685,2608
2023-10-01 00:00:00,4845,5925,3400
2023-11-01 00:00:00,4738,6169,3162
2023-12-01 00:00:00,3992,4585,2537
